,phrase,label,sentiment,subjectivity,language,count
Android App,Android App,MISC,,,de,1
Strompreis,Strompreis,MISC,,,de,1
Himalaya-Kloster: Man,Himalaya-Kloster: Man,MISC,,,de,1
Fo…,Fo…,MISC,,,de,1
Gasmarktes,Gasmarktes,MISC,,,de,1
Ifo-Index,Ifo-Index,MISC,,,de,1
Joko & Klaas,Joko & Klaas,MISC,,,de,1
Iran-Aktion,Iran-Aktion,MISC,,,de,1
europäischen,europäischen,MISC,,,de,1
Analyse: Der Winter,Analyse: Der Winter,MISC,,,de,1
20 Jahre rechnen,20 Jahre rechnen,MISC,,,de,1
Mi…,Mi…,MISC,,,de,1
Deutsche,Deutsche,MISC,,,de,1
CDU-Politikers,CDU-Politikers,MISC,,,de,1
Tipp p…,Tipp p…,MISC,,,de,1
Kalter Winter“:,Kalter Winter“:,MISC,,,de,1
"Ukraine-Krieg  BILD
</li><li>Maschinenbaugipfel: Doppelpass  FAZ","Ukraine-Krieg  BILD
</li><li>Maschinenbaugipfel: Doppelpass  FAZ",MISC,,,de,1
Ostseepipeline Nord Stream 2,Ostseepipeline Nord Stream 2,MISC,,,de,1
Gasspeicher-Füllstand,Gasspeicher-Füllstand,MISC,,,de,1
Europas Gasinfrastruktur-Betreibern hervorgin…,Europas Gasinfrastruktur-Betreibern hervorgin…,MISC,,,de,1
J…,J…,MISC,,,de,1
Russen verfolg…,Russen verfolg…,MISC,,,de,1
Demonstration in,Demonstration in,MISC,,,de,1
Gasumlage.,Gasumlage.,MISC,,,de,1
grÃ¼n-schwarze,grÃ¼n-schwarze,MISC,,,de,1
Pandemie.,Pandemie.,MISC,,,de,1
gesamteuropäischen,gesamteuropäischen,MISC,,,de,1
Alarm.,Alarm.,MISC,,,de,1
Britische,Britische,MISC,,,de,1
Worst-Case-Szenario,Worst-Case-Szenario,MISC,,,de,1
bayerischen,bayerischen,MISC,,,de,1
evangelischen,evangelischen,MISC,,,de,1
RT DE.,RT DE.,MISC,,,de,1
britische,britische,MISC,,,de,1
Baden-WÃ¼rttemberg,Baden-WÃ¼rttemberg,MISC,,,de,1
WELT.,WELT.,MISC,,,de,1
Heizperiode beginnt!,Heizperiode beginnt!,MISC,,,de,1
Wintersport?,Wintersport?,MISC,,,de,1
Versand-Konzern,Versand-Konzern,MISC,,,de,1
Hamburger,Hamburger,MISC,,,de,1
Gaspreisbremse: Die plumpe Scholz-Ansage,Gaspreisbremse: Die plumpe Scholz-Ansage,MISC,,,de,1
Heißer Herbst,Heißer Herbst,MISC,,,de,1
Frankreich:,Frankreich:,MISC,,,de,1
Frankreich: Mehrere Zehntausende,Frankreich: Mehrere Zehntausende,MISC,,,de,1
Eâ€¦,Eâ€¦,MISC,,,de,1
Energiesparen:,Energiesparen:,MISC,,,de,1
Winter-Trainingslager,Winter-Trainingslager,MISC,,,de,1
Containerschiff,Containerschiff,MISC,,,de,1
HamburgDas,HamburgDas,MISC,,,de,1
EinschÃ¤tzung,EinschÃ¤tzung,MISC,,,de,1
"Foto:Â IMAGO/Nikita) 
","Foto:Â IMAGO/Nikita) 
",MISC,,,de,1
Gasknappheit: Angst vor „Zitterpartie“ in Schulen,Gasknappheit: Angst vor „Zitterpartie“ in Schulen,MISC,,,de,1
Kaffeemaschine,Kaffeemaschine,MISC,,,de,1
deutscher,deutscher,MISC,,,de,1
Ifo-Instituts.,Ifo-Instituts.,MISC,,,de,1
Vermeintliche Flyer,Vermeintliche Flyer,MISC,,,de,1
Krieg in der Ukraine:,Krieg in der Ukraine:,MISC,,,de,1
Sieben Tipps für festliches Feeling.,Sieben Tipps für festliches Feeling.,MISC,,,de,1
Weihnachtszeit,Weihnachtszeit,MISC,,,de,1
Glosse,Glosse,MISC,,,de,1
niederländisches,niederländisches,MISC,,,de,1
Ext… [+481 chars],Ext… [+481 chars],MISC,,,de,1
"Gasnotstand: Acht Fakten,","Gasnotstand: Acht Fakten,",MISC,,,de,1
Super-Inflation,Super-Inflation,MISC,,,de,1
Energie-Profite,Energie-Profite,MISC,,,de,1
Die Ruhe im Land,Die Ruhe im Land,MISC,,,de,1
Russische Invasion: Putin,Russische Invasion: Putin,MISC,,,de,1
Amazon,Amazon,MISC,,,de,1
Risiko.<strong> </strong>,Risiko.<strong> </strong>,MISC,,,de,1
Maskenpflicht.,Maskenpflicht.,MISC,,,de,1
me…,me…,MISC,,,de,1
Anti-Atomkraft-Beschluss,Anti-Atomkraft-Beschluss,MISC,,,de,1
UNHCR-Winterhilfe,UNHCR-Winterhilfe,MISC,,,de,1
Ukrainer,Ukrainer,MISC,,,de,1
Wut der Wütenden,Wut der Wütenden,MISC,,,de,1
Ampel.,Ampel.,MISC,,,de,1
Solidarischer,Solidarischer,MISC,,,de,1
"Energie.gv.at, auf der die Daten","Energie.gv.at, auf der die Daten",MISC,,,de,1
